시군구명,행정동명,위도,경도,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,2021혼인,어린이보호구역현황,2021_한부모_가구수,2021_저소득_가구수,2021_예산현액,2021_세입,2021_세출,총_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,어린이집_수,2020GDP1인당,공동육아나눔터유무,유아인구,인구대비아동,20-40직장인구,20-40직장인구비,인구대비예산,20-40생활인구,한부모저소득평균
강남구,도곡2동,37.4837425,127.0464338,30093.13301,1508.664684,983.1316557,622.5912199,978.311237,1188.128267,1572.939972,1355.981079,1058.194542,788.2217603,835.7012086,1335.6082,1523.727786,63,0,102,745,1571060,1665507,1352661,7123.430108,1357.849462,2168.462366,1865.634409,4,147023,0,4905.971961,0.163026294,5391.946237,0.756931163,52.20659476,8845.229651,423.5
강남구,개포1동,37.4827409,127.055737,8876.879411,377.6551116,239.5072984,216.7601058,362.0896449,402.8776903,411.1034462,390.9372849,252.2957353,180.7948343,277.3503805,401.0137635,424.2165947,12,0,102,745,1571060,1665507,1352661,548.537174,76.8549625,157.6874642,146.4563211,2,147023,0,1260.39543,0.141986319,380.9987478,0.694572339,176.9833663,2676.20646,423.5
강남구,개포4동,37.4788183,127.0516374,16303.71669,547.7153955,347.3103686,604.6104689,731.4743115,693.8977321,741.016612,629.4288101,396.625504,535.9452144,619.5161466,735.0016285,656.5873298,91,0,102,745,1571060,1665507,1352661,1938.370968,278.188172,527.3010753,545.6612903,10,147023,0,1921.080078,0.117830806,1351.150538,0.697054671,96.36207681,5318.049444,423.5
강남구,일원본동,37.4833484,127.0864633,25210.34506,1487.769565,1057.969468,498.9697722,750.0599936,808.1654556,1010.100947,1024.293138,712.7847928,732.9293954,690.4957363,998.3612611,1136.728058,53,0,102,745,1571060,1665507,1352661,965.4840349,153.0185531,267.9993268,247.7180509,11,147023,0,4282.816964,0.169883314,668.7359308,0.692643179,62.31806809,6625.810619,423.5
강남구,일원1동,37.491839,127.0879629,16475.20925,503.443972,353.6091609,585.2546318,713.0662018,633.3989327,657.8204256,428.6623916,235.3270779,646.0965742,552.9158134,741.8853541,618.6763987,65,0,102,745,1571060,1665507,1352661,432.9032258,43.9516129,71.91935484,98.79032258,9,147023,0,1521.042602,0.092323113,214.6612903,0.495864382,95.35903163,5149.114332,423.5
강남구,일원2동,37.4922048,127.0737224,16698.04095,765.3032007,489.9382921,580.3386791,672.6331194,708.5705625,773.7109273,685.2430516,380.6905848,449.8714854,601.2732642,772.485037,775.028979,80,0,102,745,1571060,1665507,1352661,923.3047257,148.8800555,234.7965631,230.3192484,7,147023,1,2321.175129,0.13900883,613.995867,0.664998077,94.08648624,5333.912054,423.5
강남구,수서동,37.4889181,127.104929,23537.4779,854.9912384,272.0424203,904.9220913,1162.598964,1112.218552,1158.956805,780.6976524,270.9701952,794.0661692,868.2327855,1038.395938,888.9444034,88,3,102,745,1571060,1665507,1352661,16018.64516,2479.645161,4844.258065,4234.354839,8,147023,0,2178.701506,0.092563082,11558.25807,0.72155029,66.74716835,7928.335708,423.5
강남구,세곡동,37.4643683,127.1043555,45878.59125,3954.483467,1467.809199,1146.197317,1579.211508,1854.006987,1914.335912,3829.987543,1421.034927,1211.829112,1388.974447,1912.152768,2142.836341,160,4,102,745,1571060,1665507,1352661,2961.391837,632.6383965,904.1036275,738.7573818,40,147023,0,10673.31514,0.232642608,2275.499406,0.768388491,34.24385878,13149.54439,423.5
강남구,압구정동,37.530642,127.030713,42041.43282,1341.732487,755.6033802,1649.43475,2009.532254,2022.991163,1972.493269,1465.452522,803.5600816,2447.423225,2138.50561,2241.833418,2018.23191,59,0,102,745,1571060,1665507,1352661,10029.43011,2939.462366,3312.419355,1901.870968,5,147023,0,4366.348471,0.103858222,8153.752689,0.812982652,37.3693258,16500.4456,423.5
강남구,청담동,37.525107,127.049291,42827.44421,1218.535406,581.9592653,1776.207021,2457.933033,2252.678052,2133.78415,1039.514085,497.6108665,2525.246799,2380.775158,2724.349322,2118.127881,65,7,102,745,1571060,1665507,1352661,2557.464646,656.3459596,859.1893939,548.5580808,6,147023,0,3337.619623,0.077931795,2064.093434,0.807085813,36.68348717,18369.10142,423.5
강남구,대치2동,37.5022848,127.0642072,49396.67566,1437.525957,2069.275886,1843.388055,2287.111347,2226.767991,2700.208075,1121.388446,1246.873823,1843.181312,1813.626369,1829.068902,2116.289361,51,0,102,745,1571060,1665507,1352661,9275.335329,1795.856287,2827.42515,2143.508982,14,147023,0,5875.064112,0.118936427,6766.790419,0.729546715,31.8049743,16659.64141,423.5
강남구,개포2동,37.4897723,127.0689523,25233.33754,1111.678283,935.2208165,540.9261318,685.2282264,876.2148538,1225.762568,845.2696747,730.6269958,491.3431008,669.4442366,999.7967797,1131.964892,61,0,102,745,1571060,1665507,1352661,238.7972973,23.95945946,52.60810811,56.82432432,10,147023,0,3622.79577,0.143571803,133.3918919,0.558598834,62.2612842,6620.680789,423.5
서초구,서초2동,37.49208,127.02496,43101.70879,1007.483944,607.0752901,2320.429031,2665.276597,2507.97346,2491.525628,1075.56427,538.5199016,2545.891114,2583.131083,2552.173613,1950.200524,111,3,81,423,953605,981308,778948,27068.70161,6469.354839,11468.62097,6399.91129,9,89823,0,3228.643406,0.07490755,24337.8871,0.899115423,22.12452886,19616.60105,252
서초구,서초3동,37.4836682,127.0119725,65643.80014,1529.038077,969.4021903,3069.33832,3563.308673,3278.594406,3890.550048,1380.472697,770.568069,3304.551615,3265.121109,3235.306455,2685.858645,172,1,81,423,953605,981308,778948,6047.631336,1280.940092,1768.082949,1518.847926,9,89823,0,4649.481033,0.070828944,4567.870967,0.755315712,14.52696215,26292.62927,252
서초구,서초4동,37.5026685,127.0221589,41948.08745,1302.77973,943.5031695,1681.220945,1937.124586,2015.21123,2131.862429,1333.038086,905.6272934,2345.519167,1876.157516,2088.438316,1858.491453,56,4,81,423,953605,981308,778948,6512.209677,1534.467742,2091.532258,1456.548387,12,89823,0,4484.948279,0.106916633,5082.548387,0.780464487,22.73297921,15934.02564,252
서초구,잠원동,37.5149619,127.0140771,34047.63771,1314.123158,876.6431577,1171.83603,1558.562646,1720.136423,1945.496133,1237.064114,863.1904329,1330.065355,1308.672546,1613.818894,1647.333283,61,4,81,423,953605,981308,778948,3187.752688,805.483871,1031.204301,719.1182796,12,89823,0,4291.020863,0.126029914,2555.806452,0.801758073,28.00796367,12295.92131,252
서초구,반포1동,37.5050895,127.0135073,32943.17123,1323.057887,730.5756441,1457.239996,1780.545126,1774.184869,1846.054384,1294.177725,744.22513,1582.204051,1522.799995,1840.808297,1727.929919,97,3,81,423,953605,981308,778948,1165.209677,219.5483871,385.4435484,280.0645161,8,89823,0,4092.036386,0.124215011,885.0564516,0.759568401,28.94697032,13531.76664,252
서초구,반포4동,37.4974314,127.0003853,44086.49268,2159.329134,1230.162665,1173.626815,1689.499871,1824.532813,1979.192418,1975.411788,1139.577367,1677.619357,1659.575453,2276.45383,2368.258912,64,2,81,423,953605,981308,778948,3777.554839,873.0129032,1140.864516,914.3419355,10,89823,1,6504.480954,0.147539089,2928.219355,0.775162633,21.63032126,14648.75947,252
서초구,양재1동,37.4716412,127.026744,53578.54082,3303.197897,1173.698329,2170.261057,2856.109865,2654.78188,2951.766912,2599.647219,1018.678525,2080.897765,2120.882695,2468.807318,2432.15823,167,4,81,423,953605,981308,778948,3114.242424,570.7878788,932.5656566,750.1969697,25,89823,0,8095.22197,0.151090751,2253.550505,0.723627193,17.79826373,19735.66572,252
서초구,양재2동,37.470601,127.041188,38092.71869,1058.078119,443.0701596,2109.403027,2613.033652,2268.462456,2478.835816,1073.881657,468.3447208,1645.092983,1718.424716,1929.520404,1602.83156,125,2,81,423,953605,981308,778948,2687.505155,416.137457,782.9072165,711.1134021,11,89823,0,3043.374656,0.079893868,1910.158076,0.71075513,25.03378684,16365.60461,252
