시군구명,행정동명,인구지수,예산복지지수,공동육아나눔터유무
양천구,목1동,20743.532778061835,1418439.76,0
양천구,목2동,9845.744905337819,1418439.76,0
양천구,목3동,7393.97177041371,1418439.76,0
양천구,목4동,8437.9181526782,1418439.76,0
양천구,신월1동,6342.819007298303,1418439.76,0
양천구,신월2동,6721.260900747368,1418439.76,0
양천구,신월3동,5823.19358763432,1418439.76,0
양천구,신월4동,5361.282217270234,1418439.76,0
양천구,신월5동,3719.9572688122357,1418439.76,0
양천구,신월6동,1952.237514205953,1418439.76,0
양천구,신월7동,6600.021085925623,1418439.76,0
양천구,신정1동,8867.093116609542,1418439.76,0
양천구,신정2동,5684.916902242832,1418439.76,0
양천구,신정3동,18454.080139501544,1418439.76,0
양천구,신정6동,9473.308114415275,1418439.76,0
양천구,신정7동,9550.808316980638,1418439.76,0
양천구,목5동,18924.201809422517,1418439.76,0
양천구,신정4동,14209.301451914724,1418439.76,0
강서구,염창동,14499.759000179141,1881392.68,0
강서구,등촌1동,9897.15933948051,1881392.68,0
강서구,등촌2동,6913.268610950175,1881392.68,0
강서구,등촌3동,17083.076327850013,1881392.68,0
강서구,화곡본동,12616.530773854223,1881392.68,0
강서구,화곡2동,5646.447972570477,1881392.68,0
강서구,화곡3동,8694.045867385066,1881392.68,0
강서구,화곡4동,7584.363660852694,1881392.68,0
강서구,화곡6동,8484.187825902382,1881392.68,0
강서구,화곡8동,11488.583955255157,1881392.68,1
강서구,가양1동,21115.334997742004,1881392.68,0
강서구,가양2동,5819.057957424256,1881392.68,0
강서구,가양3동,4388.487075062911,1881392.68,0
강서구,발산1동,16300.630338548057,1881392.68,0
강서구,공항동,16466.695174772743,1881392.68,0
강서구,방화1동,15107.77882118056,1881392.68,0
강서구,방화2동,10115.09030840073,1881392.68,0
강서구,방화3동,7350.735101773823,1881392.68,0
강서구,화곡1동,19872.002448689065,1881392.68,0
강서구,우장산동,14709.159318491202,1881392.68,0
구로구,신도림동,15318.35152889127,1482374.66,0
구로구,구로1동,8127.091363056848,1482374.66,0
구로구,구로3동,18848.677811609403,1482374.66,0
구로구,구로4동,7264.70243345331,1482374.66,0
구로구,구로5동,13364.602892164894,1482374.66,0
구로구,고척1동,9454.822691697089,1482374.66,0
구로구,고척2동,7640.825171245943,1482374.66,0
구로구,개봉2동,9737.813681857664,1482374.66,0
구로구,개봉3동,7414.806428564725,1482374.66,0
구로구,오류1동,6299.936205050493,1482374.66,1
구로구,오류2동,24000.393061066105,1482374.66,0
구로구,수궁동,9572.923868463762,1482374.66,0
구로구,가리봉동,4471.832292566014,1482374.66,1
구로구,구로2동,13329.293969923365,1482374.66,0
구로구,개봉1동,12189.897854502624,1482374.66,0
금천구,가산동,25650.9677061795,1046438.51,0
금천구,독산1동,14356.002683422348,1046438.51,0
금천구,독산2동,5889.1333943805985,1046438.51,0
금천구,독산3동,8941.316778380437,1046438.51,0
